Type,Current,Min,Max,Mean,StdDev,Wave count
T,199.9988 ms,199.9988 ms,200.008 ms,199.9988 ms,2.576 us,49
f,4.99997 Hz,4.99997 Hz,5.00002 Hz,5.00002 Hz,21.16 uHz,49
Dty+,50.00 %,50.00 %,50.00 %,50.00 %,0.00 %,49
PW+,100.004 ms,99.9948 ms,100.004 ms,100.004 ms,4.6 us,49
