Type,Current,Min,Max,Mean,StdDev,Wave count
T,232.0056 ms,231.9964 ms,232.0056 ms,232.0056 ms,4.692 us,44
f,4.31032 Hz,4.31032 Hz,4.31036 Hz,4.31033 Hz,16.685 uHz,44
Dty+,50.00 %,50.00 %,50.00 %,50.00 %,0.00 %,44
PW+,115.9936 ms,115.9936 ms,116.0028 ms,116.0028 ms,3.496 us,44
