Type,Current,Min,Max,Mean,StdDev,Wave count
T,1.200006s,85.725ms,1.200026s,1.1726s,106.273ms,57
f,833.34 mHz,833.26 mHz,12.1221 Hz,925.826 mHz,926.652 mHz,57
Dty+,50.00 %,0.01 %,52.13 %,49.26 %,4.0021 %,57
VP+,3.432 V,107.23 mV,3.5002 V,3.0592 V,1.0282 V,57
