Type,Current,Min,Max,Mean,StdDev,Wave count
T,1.006s,1.006s,1.006s,1.006s,0s,57
f,1 Hz,1 Hz,1 Hz,1 Hz,0 Hz,57
Dty+,50.00 %,50.00 %,50.00 %,50.00 %,0.00 %,57
VP+,3.4645 V,3.4645 V,3.4645 V,3.4645 V,0 V,57
