Type,Current,Min,Max,Mean,StdDev,Wave count
T,200.008 ms,199.9988 ms,200.008 ms,199.9988 ms,2.3 us,45
f,4.99997 Hz,4.99997 Hz,5.00002 Hz,5.00002 Hz,20.7 uHz,45
Dty+,50.00 %,50.00 %,50.00 %,50.00 %,0.00 %,45
PW+,100.004 ms,99.9948 ms,100.004 ms,100.004 ms,4.6 us,45
