Type,Current,Min,Max,Mean,StdDev,Wave count
T,199.9988 ms,199.9988 ms,200.008 ms,199.9988 ms,3.22 us,57
f,5.00002 Hz,4.99997 Hz,5.00002 Hz,5.00002 Hz,17.02 uHz,57
Dty+,50.00 %,50.00 %,50.00 %,50.00 %,0.00 %,57
PW+,99.9948 ms,99.9948 ms,100.004 ms,99.9948 ms,4.692 us,57
